type,gid,geom_o,geom_err,ident,nom,etat,nbplaces,nbvelos,nbelec,nbclassiq,insee,cdate,mdate,longitude,latitude
VLS,155,0,,174,Darwin,CONNECTEE,7,36,11,25,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5624086,44.8491802
VLS,156,0,,175,Arena,CONNECTEE,7,13,4,9,33167,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5316309,44.8260539
VLS,157,0,,176,Musee Mer Marine,CONNECTEE,14,6,5,1,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.556399,44.8690639
VLS,159,0,,178,Jean Jaures,CONNECTEE,11,9,7,2,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.537826,44.8540039
VLS+,161,0,,181,Mairie du Bouscat,CONNECTEE,7,13,5,8,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.60529,44.8662139
VLS+,162,0,,182,Hippodrome,CONNECTEE,8,12,6,6,33162,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.629383,44.8738049
VLS+,163,0,,184,Lormont bas,CONNECTEE,16,4,2,2,,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5342929,44.8779049
VLS,166,0,,251,Belcier Gare,CONNECTEE,34,6,4,2,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.554574,44.8232849
VLS,8,0,,9,Gavinies,CONNECTEE,8,11,4,7,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.59289,44.8330299
VLS+,71,0,,73,Terres Neuves,CONNECTEE,12,8,3,5,33039,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5509009,44.8150829
VLS+,79,0,,84,Le Burck,CONNECTEE,13,5,3,2,33281,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.63444,44.8153499
VLS+,81,0,,86,Merignac Soleil,CONNECTEE,5,14,12,2,33281,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.654779,44.8319169
VLS+,87,0,,97,Claveau,MAINTENANCE,19,0,0,0,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5443299,44.8773799
VLS,91,0,,101,Place Jean Jaures,CONNECTEE,5,14,8,6,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.57037,44.8429499
VLS,92,0,,102,Place de la Bourse,CONNECTEE,16,4,2,2,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.56914,44.8402999
VLS,94,0,,104,Grosse Cloche,CONNECTEE,6,11,3,8,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.57205,44.8351799
VLS,96,0,,106,Place de la Victoire,CONNECTEE,15,24,11,13,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.57321,44.8306399
VLS,158,0,,177,Cite numerique,CONNECTEE,14,10,8,2,33039,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.55517,44.8132739
VLS,160,0,,179,Rue Paulin,CONNECTEE,13,10,3,7,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.587664,44.8473999
VLS,164,0,,185,Place Latule,CONNECTEE,5,14,9,5,,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.56634,44.8693729
VLS,165,0,,186,Bagatelle,CONNECTEE,12,8,4,4,,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.574862,44.8073889
VLS+,150,0,,169,Bruges La Vache,DECONNECTEE,17,2,1,1,33075,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5908097,44.8723968
